"DOCUMENTACIÓN","Tipo de interés. UEM. Mercado monetario. Euríbor. A 12 meses"
"UNIDADES","Porcentaje"
"FRECUENCIA","Diaria"
"CÓDIGO DE IDENTIFICACIÓN","D_DNBAF172"
"NÚMERO SECUENCIAL","-"
"ALIAS","-"
"CÓDIGO DE UNIDADES","Porcentaje"
"01dic03",2.503
"02dic03",2.503
"03dic03",2.483
"04dic03",2.488
"05dic03",2.444
"06dic03","-"
"07dic03","-"
"08dic03",2.385
"09dic03",2.382
"10dic03",2.410
"11dic03",2.415
"12dic03",2.373
"13dic03","-"
"14dic03","-"
"15dic03",2.371
"16dic03",2.353
"17dic03",2.349
"18dic03",2.312
"19dic03",2.322
"20dic03","-"
"21dic03","-"
"22dic03",2.326
"23dic03",2.327
"24dic03",2.330
"25dic03","-"
"26dic03","-"
"27dic03","-"
"28dic03","-"
"29dic03",2.304
"30dic03",2.311
"31dic03",2.305
"01ene04","-"
"02ene04",2.275
"03ene04","-"
"04ene04","-"
"05ene04",2.302
"06ene04",2.285
"07ene04",2.269
"08ene04",2.258
"09ene04",2.237
"10ene04","-"
"11ene04","-"
"12ene04",2.170
"13ene04",2.189
"14ene04",2.194
"15ene04",2.202
"16ene04",2.190
"17ene04","-"
"18ene04","-"
"19ene04",2.207
"20ene04",2.201
"21ene04",2.168
"22ene04",2.175
"23ene04",2.159
"24ene04","-"
"25ene04","-"
"26ene04",2.173
"27ene04",2.203
"28ene04",2.183
"29ene04",2.239
"30ene04",2.263
"31ene04","-"
"01feb04","-"
"02feb04",2.251
"03feb04",2.218
"04feb04",2.203
"05feb04",2.205
"06feb04",2.212
"07feb04","-"
"08feb04","-"
"09feb04",2.163
"10feb04",2.149
"11feb04",2.187
"12feb04",2.150
"13feb04",2.147
"14feb04","-"
"15feb04","-"
"16feb04",2.149
"17feb04",2.138
"18feb04",2.113
"19feb04",2.149
"20feb04",2.159
"21feb04","-"
"22feb04","-"
"23feb04",2.186
"24feb04",2.157
"25feb04",2.138
"26feb04",2.101
"27feb04",2.086
"28feb04","-"
"29feb04","-"
"01mar04",2.092
"02mar04",2.119
"03mar04",2.157
"04mar04",2.151
"05mar04",2.156
"06mar04","-"
"07mar04","-"
"08mar04",2.072
"09mar04",2.079
"10mar04",2.084
"11mar04",2.091
"12mar04",2.068
"13mar04","-"
"14mar04","-"
"15mar04",2.076
"16mar04",2.078
"17mar04",2.070
"18mar04",2.042
"19mar04",2.040
"20mar04","-"
"21mar04","-"
"22mar04",2.025
"23mar04",2.027
"24mar04",2.019
"25mar04",1.963
"26mar04",1.947
"27mar04","-"
"28mar04","-"
"29mar04",1.960
"30mar04",1.967
"31mar04",1.983
"01abr04",1.978
"02abr04",2.070
"03abr04","-"
"04abr04","-"
"05abr04",2.161
"06abr04",2.133
"07abr04",2.113
"08abr04",2.119
"09abr04","-"
"10abr04","-"
"11abr04","-"
"12abr04","-"
"13abr04",2.143
"14abr04",2.165
"15abr04",2.172
"16abr04",2.171
"17abr04","-"
"18abr04","-"
"19abr04",2.154
"20abr04",2.177
"21abr04",2.201
"22abr04",2.189
"23abr04",2.169
"24abr04","-"
"25abr04","-"
"26abr04",2.226
"27abr04",2.209
"28abr04",2.214
"29abr04",2.250
"30abr04",2.239
"01may04","-"
"02may04","-"
"03may04",2.230
"04may04",2.223
"05may04",2.210
"06may04",2.222
"07may04",2.274
"08may04","-"
"09may04","-"
"10may04",2.313
"11may04",2.319
"12may04",2.309
"13may04",2.335
"14may04",2.356
"15may04","-"
"16may04","-"
"17may04",2.292
"18may04",2.308
"19may04",2.321
"20may04",2.333
"21may04",2.313
"22may04","-"
"23may04","-"
"24may04",2.344
"25may04",2.323
"26may04",2.324
"27may04",2.304
"28may04",2.286
"29may04","-"
"30may04","-"
"31may04",2.307
"01jun04",2.332
"02jun04",2.337
"03jun04",2.366
"04jun04",2.361
"05jun04","-"
"06jun04","-"
"07jun04",2.363
"08jun04",2.351
"09jun04",2.352
"10jun04",2.386
"11jun04",2.426
"12jun04","-"
"13jun04","-"
"14jun04",2.471
"15jun04",2.479
"16jun04",2.404
"17jun04",2.463
"18jun04",2.445
"19jun04","-"
"20jun04","-"
"21jun04",2.448
"22jun04",2.438
"23jun04",2.439
"24jun04",2.413
"25jun04",2.384
"26jun04","-"
"27jun04","-"
"28jun04",2.387
"29jun04",2.426
"30jun04",2.426
"01jul04",2.387
"02jul04",2.366
"03jul04","-"
"04jul04","-"
"05jul04",2.339
"06jul04",2.335
"07jul04",2.343
"08jul04",2.330
"09jul04",2.331
"10jul04","-"
"11jul04","-"
"12jul04",2.332
"13jul04",2.348
"14jul04",2.348
"15jul04",2.357
"16jul04",2.360
"17jul04","-"
"18jul04","-"
"19jul04",2.321
"20jul04",2.320
"21jul04",2.365
"22jul04",2.378
"23jul04",2.380
"24jul04","-"
"25jul04","-"
"26jul04",2.382
"27jul04",2.404
"28jul04",2.418
"29jul04",2.412
"30jul04",2.387
"31jul04","-"
"01ago04","-"
"02ago04",2.353
"03ago04",2.363
"04ago04",2.348
"05ago04",2.344
"06ago04",2.322
"07ago04","-"
"08ago04","-"
"09ago04",2.280
"10ago04",2.284
"11ago04",2.298
"12ago04",2.295
"13ago04",2.276
"14ago04","-"
"15ago04","-"
"16ago04",2.268
"17ago04",2.282
"18ago04",2.272
"19ago04",2.285
"20ago04",2.270
"21ago04","-"
"22ago04","-"
"23ago04",2.285
"24ago04",2.315
"25ago04",2.308
"26ago04",2.306
"27ago04",2.290
"28ago04","-"
"29ago04","-"
"30ago04",2.304
"31ago04",2.296
"01sep04",2.275
"02sep04",2.284
"03sep04",2.347
"04sep04","-"
"05sep04","-"
"06sep04",2.399
"07sep04",2.388
"08sep04",2.427
"09sep04",2.395
"10sep04",2.384
"11sep04","-"
"12sep04","-"
"13sep04",2.405
"14sep04",2.394
"15sep04",2.388
"16sep04",2.404
"17sep04",2.372
"18sep04","-"
"19sep04","-"
"20sep04",2.385
"21sep04",2.388
"22sep04",2.387
"23sep04",2.370
"24sep04",2.377
"25sep04","-"
"26sep04","-"
"27sep04",2.379
"28sep04",2.370
"29sep04",2.385
"30sep04",2.392
"01oct04",2.372
"02oct04","-"
"03oct04","-"
"04oct04",2.377
"05oct04",2.385
"06oct04",2.378
"07oct04",2.388
"08oct04",2.355
"09oct04","-"
"10oct04","-"
"11oct04",2.324
"12oct04",2.314
"13oct04",2.317
"14oct04",2.301
"15oct04",2.300
"16oct04","-"
"17oct04","-"
"18oct04",2.282
"19oct04",2.290
"20oct04",2.273
"21oct04",2.272
"22oct04",2.285
"23oct04","-"
"24oct04","-"
"25oct04",2.265
"26oct04",2.265
"27oct04",2.280
"28oct04",2.308
"29oct04",2.307
"30oct04","-"
"31oct04","-"
"01nov04",2.300
"02nov04",2.314
"03nov04",2.338
"04nov04",2.317
"05nov04",2.323
"06nov04","-"
"07nov04","-"
"08nov04",2.386
"09nov04",2.380
"10nov04",2.366
"11nov04",2.347
"12nov04",2.314
"13nov04","-"
"14nov04","-"
"15nov04",2.305
"16nov04",2.329
"17nov04",2.333
"18nov04",2.327
"19nov04",2.346
"20nov04","-"
"21nov04","-"
"22nov04",2.339
"23nov04",2.340
"24nov04",2.324
"25nov04",2.303
"26nov04",2.296
"27nov04","-"
"28nov04","-"
"29nov04",2.294
"30nov04",2.302
"01dic04",2.278
"02dic04",2.265
"03dic04",2.326
"04dic04","-"
"05dic04","-"
"06dic04",2.261
"07dic04",2.254
"08dic04",2.261
"09dic04",2.260
"10dic04",2.269
"11dic04","-"
"12dic04","-"
"13dic04",2.266
"14dic04",2.263
"15dic04",2.264
"16dic04",2.266
"17dic04",2.307
"18dic04","-"
"19dic04","-"
"20dic04",2.312
"21dic04",2.315
"22dic04",2.344
"23dic04",2.340
"24dic04",2.330
"25dic04","-"
"26dic04","-"
"27dic04",2.326
"28dic04",2.334
"29dic04",2.366
"30dic04",2.361
"31dic04",2.356
"01ene05","-"
"02ene05","-"
"03ene05",2.343
"04ene05",2.351
"05ene05",2.362
"06ene05",2.356
"07ene05",2.315
"08ene05","-"
"09ene05","-"
"10ene05",2.326
"11ene05",2.310
"12ene05",2.326
"13ene05",2.329
"14ene05",2.296
"15ene05","-"
"16ene05","-"
"17ene05",2.288
"18ene05",2.295
"19ene05",2.288
"20ene05",2.297
"21ene05",2.306
"22ene05","-"
"23ene05","-"
"24ene05",2.287
"25ene05",2.287
"26ene05",2.290
"27ene05",2.310
"28ene05",2.305
"29ene05","-"
"30ene05","-"
"31ene05",2.287
"01feb05",2.288
"02feb05",2.285
"03feb05",2.315
"04feb05",2.315
"05feb05","-"
"06feb05","-"
"07feb05",2.304
"08feb05",2.315
"09feb05",2.301
"10feb05",2.284
"11feb05",2.281
"12feb05","-"
"13feb05","-"
"14feb05",2.287
"15feb05",2.300
"16feb05",2.301
"17feb05",2.315
"18feb05",2.308
"19feb05","-"
"20feb05","-"
"21feb05",2.333
"22feb05",2.326
"23feb05",2.331
"24feb05",2.335
"25feb05",2.341
"26feb05","-"
"27feb05","-"
"28feb05",2.335
"01mar05",2.344
"02mar05",2.337
"03mar05",2.336
"04mar05",2.323
"05mar05","-"
"06mar05","-"
"07mar05",2.293
"08mar05",2.285
"09mar05",2.284
"10mar05",2.306
"11mar05",2.306
"12mar05","-"
"13mar05","-"
"14mar05",2.308
"15mar05",2.308
"16mar05",2.305
"17mar05",2.328
"18mar05",2.334
"19mar05","-"
"20mar05","-"
"21mar05",2.356
"22mar05",2.363
"23mar05",2.395
"24mar05",2.384
"25mar05","-"
"26mar05","-"
"27mar05","-"
"28mar05","-"
"29mar05",2.393
"30mar05",2.383
"31mar05",2.359
"01abr05",2.335
"02abr05","-"
"03abr05","-"
"04abr05",2.322
"05abr05",2.327
"06abr05",2.319
"07abr05",2.311
"08abr05",2.299
"09abr05","-"
"10abr05","-"
"11abr05",2.286
"12abr05",2.284
"13abr05",2.279
"14abr05",2.272
"15abr05",2.252
"16abr05","-"
"17abr05","-"
"18abr05",2.231
"19abr05",2.246
"20abr05",2.239
"21abr05",2.231
"22abr05",2.236
"23abr05","-"
"24abr05","-"
"25abr05",2.226
"26abr05",2.227
"27abr05",2.229
"28abr05",2.211
"29abr05",2.205
"30abr05","-"
"01may05","-"
"02may05",2.202
"03may05",2.197
"04may05",2.184
"05may05",2.193
"06may05",2.186
"07may05","-"
"08may05","-"
"09may05",2.204
"10may05",2.192
"11may05",2.184
"12may05",2.194
"13may05",2.193
"14may05","-"
"15may05","-"
"16may05",2.200
"17may05",2.201
"18may05",2.200
"19may05",2.199
"20may05",2.212
"21may05","-"
"22may05","-"
"23may05",2.229
"24may05",2.204
"25may05",2.184
"26may05",2.174
"27may05",2.174
"28may05","-"
"29may05","-"
"30may05",2.173
"31may05",2.173
"01jun05",2.140
"02jun05",2.123
"03jun05",2.126
"04jun05","-"
"05jun05","-"
"06jun05",2.125
"07jun05",2.121
"08jun05",2.101
"09jun05",2.104
"10jun05",2.104
"11jun05","-"
"12jun05","-"
"13jun05",2.101
"14jun05",2.105
"15jun05",2.110
"16jun05",2.153
"17jun05",2.136
"18jun05","-"
"19jun05","-"
"20jun05",2.137
"21jun05",2.092
"22jun05",2.065
"23jun05",2.057
"24jun05",2.059
"25jun05","-"
"26jun05","-"
"27jun05",2.068
"28jun05",2.068
"29jun05",2.085
"30jun05",2.082
"01jul05",2.091
"02jul05","-"
"03jul05","-"
"04jul05",2.121
"05jul05",2.145
"06jul05",2.145
"07jul05",2.142
"08jul05",2.140
"09jul05","-"
"10jul05","-"
"11jul05",2.152
"12jul05",2.164
"13jul05",2.174
"14jul05",2.177
"15jul05",2.192
"16jul05","-"
"17jul05","-"
"18jul05",2.185
"19jul05",2.193
"20jul05",2.192
"21jul05",2.185
"22jul05",2.187
"23jul05","-"
"24jul05","-"
"25jul05",2.183
"26jul05",2.185
"27jul05",2.187
"28jul05",2.193
"29jul05",2.195
"30jul05","-"
"31jul05","-"
"01ago05",2.221
"02ago05",2.222
"03ago05",2.236
"04ago05",2.233
"05ago05",2.241
"06ago05","-"
"07ago05","-"
"08ago05",2.255
"09ago05",2.262
"10ago05",2.258
"11ago05",2.263
"12ago05",2.240
"13ago05","-"
"14ago05","-"
"15ago05",2.228
"16ago05",2.226
"17ago05",2.205
"18ago05",2.196
"19ago05",2.188
"20ago05","-"
"21ago05","-"
"22ago05",2.194
"23ago05",2.193
"24ago05",2.204
"25ago05",2.214
"26ago05",2.205
"27ago05","-"
"28ago05","-"
"29ago05",2.209
"30ago05",2.224
"31ago05",2.209
"01sep05",2.197
"02sep05",2.154
"03sep05","-"
"04sep05","-"
"05sep05",2.154
"06sep05",2.174
"07sep05",2.178
"08sep05",2.179
"09sep05",2.188
"10sep05","-"
"11sep05","-"
"12sep05",2.204
"13sep05",2.223
"14sep05",2.218
"15sep05",2.231
"16sep05",2.234
"17sep05","-"
"18sep05","-"
"19sep05",2.229
"20sep05",2.221
"21sep05",2.221
"22sep05",2.205
"23sep05",2.216
"24sep05","-"
"25sep05","-"
"26sep05",2.256
"27sep05",2.266
"28sep05",2.276
"29sep05",2.283
"30sep05",2.322
"01oct05","-"
"02oct05","-"
"03oct05",2.334
"04oct05",2.338
"05oct05",2.334
"06oct05",2.337
"07oct05",2.384
"08oct05","-"
"09oct05","-"
"10oct05",2.379
"11oct05",2.390
"12oct05",2.386
"13oct05",2.385
"14oct05",2.385
"15oct05","-"
"16oct05","-"
