fecha,morosidad,paro,paro_lag_12,euribor,inflacion_interanual,pred_morosidad_m1,pred_morosidad_m2
2008-10-01,2.92,13.79,8.57,5.247826086956522,3.5567061074609274,0.5754584644379293,0.8432129039332161
2008-11-01,3.21,13.79,8.57,4.3504,2.38311425258777,0.5754584644379293,1.013134675749571
2008-12-01,3.37,13.79,8.57,3.4520000000000004,1.4328042622449244,0.5754584644379293,1.126475978993481
2009-01-01,3.89,17.24,9.6,2.621619047619048,0.8062484252960633,1.262732061043609,1.8440679893165215
2009-02-01,4.22,17.24,9.6,2.1354,0.6610484535938488,1.262732061043609,1.812101675422014
2009-03-01,4.26,17.24,9.6,1.908909090909091,-0.0609519587743023,1.262732061043609,1.9626261131178566
2009-04-01,4.51,17.77,10.36,1.771,-0.1589803330363848,1.7698465595099364,2.4670829848887843
2009-05-01,4.66,17.77,10.36,1.6444500000000002,-0.8644395436848362,1.7698465595099364,2.627541151434023
2009-06-01,4.6,17.77,10.36,1.6104545454545454,-0.9975501143731024,1.7698465595099364,2.6563885280749515
2009-07-01,4.76,17.75,11.23,1.4119565217391306,-1.3682234855697306,2.3503592090700742,3.293455426627825
2009-08-01,4.94,17.75,11.23,1.3342857142857143,-0.8109802638752606,2.3503592090700742,3.1416213447404546
2009-09-01,4.86,17.75,11.23,1.2610454545454546,-1.025179610922522,2.3503592090700742,3.1854242347782202
2009-10-01,4.99,18.66,13.79,1.2426363636363638,-0.6602812308946437,4.058534361798755,4.77194348274738
2009-11-01,5.05,18.66,13.79,1.2305714285714284,0.3028938643526491,4.058534361798755,4.526760636870937
2009-12-01,5.08,18.66,13.79,1.242409090909091,0.7940535128982074,4.058534361798755,4.404273389735352
2010-01-01,5.31,19.84,17.24,1.23215,1.0289094393068463,6.360567282468266,6.609352531689359
2010-02-01,5.4,19.84,17.24,1.2252,0.8344209035626049,6.360567282468266,6.6575352668564705
2010-03-01,5.33,19.84,17.24,1.2151304347826086,1.415225105344864,6.360567282468266,6.509292911079527
2010-04-01,5.49,19.89,17.77,1.22515,1.5031091710249855,6.714212919556627,6.836586297029177
2010-05-01,5.5,19.89,17.77,1.2493333333333334,1.7659256004284307,6.714212919556627,6.773565055683057
2010-06-01,5.35,19.89,17.77,1.2813181818181818,1.4997812534178978,6.714212919556627,6.845360459973451
