fecha,morosidad,euribor,ipc,inflacion_interanual,paro,paro_lag_6,paro_lag_12,euribor_lag_6,euribor_lag_12
2009-01-01,3.89,2.6216190476190477,72.018,0.8062484252960633,17.24,11.23,9.6,5.393217391304348,4.498045454545454
2009-02-01,4.22,2.1353999999999997,72.026,0.6610484535938488,17.24,11.23,9.6,5.323047619047619,4.348857142857143
2009-03-01,4.26,1.908909090909091,72.144,-0.06095195877430237,17.24,11.23,9.6,5.383909090909091,4.590052631578947
2009-04-01,4.51,1.7710000000000001,72.849,-0.1589803330363848,17.77,13.79,10.36,5.247826086956522,4.819909090909091
2009-05-01,4.66,1.6444500000000002,72.823,-0.8644395436848362,17.77,13.79,10.36,4.3504,4.993809523809524
2009-06-01,4.6,1.6104545454545454,73.144,-0.9975501143731025,17.77,13.79,10.36,3.4520000000000004,5.3608095238095235
2009-07-01,4.76,1.4119565217391306,72.52,-1.3682234855697306,17.75,17.24,11.23,2.6216190476190477,5.393217391304348
2009-08-01,4.94,1.3342857142857143,72.773,-0.8109802638752606,17.75,17.24,11.23,2.1353999999999997,5.323047619047619
2009-09-01,4.86,1.2610454545454546,72.601,-1.025179610922522,17.75,17.24,11.23,1.908909090909091,5.383909090909091
2009-10-01,4.99,1.2426363636363638,73.119,-0.6602812308946437,18.66,17.77,13.79,1.7710000000000001,5.247826086956522
2009-11-01,5.05,1.2305714285714284,73.515,0.3028938643526491,18.66,17.77,13.79,1.6444500000000002,4.3504
2009-12-01,5.08,1.242409090909091,73.496,0.7940535128982074,18.66,17.77,13.79,1.6104545454545454,3.4520000000000004
2010-01-01,5.31,1.23215,72.759,1.0289094393068465,19.84,17.75,17.24,1.4119565217391306,2.6216190476190477
2010-02-01,5.4,1.2252,72.627,0.8344209035626049,19.84,17.75,17.24,1.3342857142857143,2.1353999999999997
2010-03-01,5.33,1.2151304347826086,73.165,1.415225105344864,19.84,17.75,17.24,1.2610454545454546,1.908909090909091
2010-04-01,5.49,1.22515,73.944,1.5031091710249855,19.89,18.66,17.77,1.2426363636363638,1.7710000000000001
2010-05-01,5.5,1.2493333333333334,74.109,1.7659256004284307,19.89,18.66,17.77,1.2305714285714284,1.6444500000000002
2010-06-01,5.35,1.2813181818181818,74.241,1.4997812534178978,19.89,18.66,17.77,1.242409090909091,1.6104545454545454
2010-07-01,5.48,1.3733636363636363,73.909,1.9153337010479943,19.59,19.84,17.75,1.23215,1.4119565217391306
2010-08-01,5.64,1.4210454545454547,74.095,1.816607807840831,19.59,19.84,17.75,1.2252,1.3342857142857143
2010-09-01,5.51,1.4204545454545454,74.146,2.1280698612966775,19.59,19.84,17.75,1.2151304347826086,1.2610454545454546
2010-10-01,5.68,1.4953809523809523,74.824,2.3318152600555253,20.11,19.89,18.66,1.22515,1.2426363636363638
2010-11-01,5.69,1.5405,75.23,2.3328572400190373,20.11,19.89,18.66,1.2493333333333334,1.2305714285714284
